7;Porte d'Ivry;2;149;154
7;Riquet;2;141;43
7;Sully - Morland;2;152;165
7;Tolbiac;2;148;112
7;Villejuif - Louis Aragon;1;162
7;Villejuif - Paul Vaillant-Couturier;2;300;161
7;Louis Blanc;3;139;43;44
7;Chaussee d'Autin - La Fayette;4;145;67;68;200
7;Jussieu;4;159;150;113;231
7;Pyramides;4;17;67;201;15
7;Bolivar;2;44;169
7;Botzaris;2;169;172
7;Buttes Chaumont;2;167;168
7;Danube;2;171;168
7;Pre-Saint-Gervais;2;172;170
7;Place des Fetes;4;168;171;250;246
8;Balard;1;189
8;Boucicaut;2;189;184
8;Charenton - Ecoles;2;182;188
8;Chemin Vert;2;197;16
8;Commerce;2;184;132
8;Creteil - L'echat;2;180;190
8;Creteil - Prefecture;2;180;194
8;Creteil - Universite;2;179;178
8;Ecole Militaire;2;186;132
8;Ecole veterinaire de Maisons-Alfort;2;175;191
8;Faidherbe - Chaligny;2;187;18
8;Felix Faure;2;174;177
8;Filles du Calvaire;2;66;197
8;La Tour-Maubourg;2;181;202
8;Ledru-Rollin;2;183;16
8;Liberte;2;175;195
8;Lourmel;2;173;174
8;Maisons-Alfort - Les Juilliottes;2;178;191
8;Maisons-Alfort - Stade;2;190;182
8;Michel Bizot;2;196;131
8;Montgallet;2;131;18
8;Pointe du Lac;1;179
8;Porte de Charenton;2;175;196
8;Porte Doree;2;195;192
8;Saint-Sebastien - Froissart;2;176;185
8;Bonne Nouvelle;2;199;95
8;Grand Boulevards;2;198;201
8;Richelieu - Drouot;4;199;67;;199;164
8;Madeleine;6;67;19;19;70;70;166
8;Invalides;4;201;186;296;22
9;Alma - Marceau;2;209;20
9;Billancourt;2;301;214
9;Buzenval;2;213;14
9;Charonne;2;224;220
9;Croix de Chavaux;2;212;218
9;Exelmans;2;216;204
9;Iena;2;203;133
9;Jasmin;2;217;225
9;La Muette;2;219;210
9;Mairie de Montreuil;1;207
9;Maraichers;2;205;215
9;Marcel Sembat;2;216;204
9;Porte de Montreuil;2;218;213
9;Porte de Saint-Cloud;2;208;214
9;Ranelagh;2;210;211
9;Robespierre;2;207;215
9;Rue de la Pompe;2;211;133
9;Rue des Boulets;2;14;206
9;Saint-Ambroise;2;224;112
9;Saint-Augustin;3;227;68;201
9;Saint-Philippe du Roule;2;227;68
9;Voltaire;2;206;221
9;Michel-Ange - Auteil;3;210;226;240
9;Michel-Ange - Molitor;3;225;208;232
9;Miromesnil;4;222;223;70;22
10;Avenue Emile-Zola;2;233;132
10;Boulogne - Jean Jaures;2;230;226
10;Boulogne - Pont de Saint-Cloud;1;229
10;Cardinal Lemoine;2;238;165
10;Chardon-Lagache;1;239
10;Charles Michels;2;228;236
10;Cluny - La Sorbonne;2;238;96
10;Eglise d'Auteuil;1;225;
10;Javel - Andre Citroen;2;233;235
10;Mabillon;2;96;243
10;Maubert - Mutualite;2;234;231
10;Mirabeau;1;236
10;Porte d'Auteuil;1;229
10;Segur;2;244;132
10;Vaneau;2;244;243
10;Sevres - Babylone;4;242;237;265;266
10;Duroc;4;241;242;94;295
11;Goncourt;2;66;45
11;Jourdain;2;248;172
11;Mairie des Lilas;1;73
11;Pyrenees;2;246;45
11;Rambuteau;2;21;69
11;Telegraphe;2;73;172
12;Abbesses;2;258;46
12;Assemblee nationale;2;268;19
12;Convention;2;270;264
12;Corentin Celton;2;259;254
12;Falguiere;2;134;94
12;Front Populaire;2;302;263
12;Jules Joffrin;2;258;97
12;Lamarck - Caulaincourt;2;251;257
12;Mairie d'Issy;1;254
12;Marx Dormoy;2;263;98
12;Notre-Dame-de-Lorette;2;267;269
12;Notre-Dame-des-Champs;2;265;94
12;Porte de la Chapelle;2;260;256
12;Porte de Versailles;2;253;254
12;Rennes;2;262;243
12;Rue du Bac;2;243;268
12;Saint-Georges;2;261;46
12;Solferino;2;252;266
12;Trinite - d'Estienne d'Orves;2;261;46
12;Vaugirard;2;271;253
12;Volontaires;2;270;134
13;Basilique de Saint-Denis;2;294;293
13;Brochant;2;280;290
13;Carrefour Pleyel;2;293;285
13;Chatillon - Montrouge;1;287
13;Gabriel Peri;1;284
13;Gaite;2;288;94
13;Garibaldi;2;291;285
13;Guy Moquet;2;280;291
13;La Fourche;3;273;279;47
13;Les Agnettes;1;284
13;Les Courtilles;1;284
13;Liege;2;70;47
13;Mairie de Clichy;2;290;273
13;Mairie de Saint-Ouen;2;278;274
13;Malakoff - Plateau de Vanves;2;287;292
13;Malakoff - Rue Etienne-Dolet;2;286;275
13;Pernety;2;289;277
13;Plaisance;2;288;292
13;Porte de Clichy;2;273;284
13;Porte de Saint-Ouen;2;278;279
13;Porte de Vanves;2;286;289
13;Saint-Denis - Porte de Paris;2;274;294
13;Saint-Denis - Universite;1;272
13;Saint-Francois-Xavier;2;296;244
13;Varenne;2;295;202
14;Bibliotheque Francois-Mitterrand;2;198;303
14;Cour Saint-Emilion;2;297;135
1;Louvre - Rivoli;2;75;17
7;Villejuif - Leo Lagrange;2;144;162
9;Pont de Sevres;1;204
12;Mairie d'Aubervilliers;1;256;
14;Olympiades;1;297
